InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
548234,20724,detergent,10,3/30/2011 10:32,0.85,17594,United Kingdom
548255,82582,whole milk,12,3/30/2011 10:46,2.1,13078,United Kingdom
548258,22637,misc. beverages,4,3/30/2011 11:04,2.55,14146,United Kingdom
548258,22746,napkins,6,3/30/2011 11:04,2.1,14146,United Kingdom
548257,84510A,snack products,10,3/30/2011 10:54,1.25,13802,United Kingdom
548258,22768,hard cheese,2,3/30/2011 11:04,9.95,14146,United Kingdom
548259,84508B,sweet spreads,1,3/30/2011 11:12,2.55,14099,United Kingdom
548260,21035,frozen meals,1,3/30/2011 11:18,3.25,15373,United Kingdom
548289,21385,spread cheese,24,3/30/2011 11:48,0.85,13988,United Kingdom
548289,84510A,snack products,10,3/30/2011 11:48,1.25,13988,United Kingdom
548310,20821,decalcifier,1,3/30/2011 12:04,4.95,,United Kingdom
548312,22170,Instant food products,1,3/30/2011 12:12,6.75,16059,United Kingdom
548312,21380,salad dressing,2,3/30/2011 12:12,2.95,16059,United Kingdom
548317,22196,baby cosmetics,12,3/30/2011 12:43,0.85,18179,United Kingdom
548338,20724,detergent,10,3/30/2011 14:08,0.85,16558,United Kingdom
548334,21314,frozen chicken,8,3/30/2011 13:56,2.1,18108,United Kingdom
548351,72351B,canned fruit,12,3/30/2011 14:51,2.1,13001,United Kingdom
548351,21035,frozen meals,6,3/30/2011 14:51,3.25,13001,United Kingdom
548353,82582,whole milk,18,3/30/2011 15:05,2.1,15980,United Kingdom
548358,22637,misc. beverages,4,3/30/2011 15:29,2.55,15832,United Kingdom
548358,70006,canned fish,12,3/30/2011 15:29,1.65,15832,United Kingdom
548358,21035,frozen meals,6,3/30/2011 15:29,3.25,15832,United Kingdom
548358,22196,baby cosmetics,12,3/30/2011 15:29,0.85,15832,United Kingdom
C548356,22326,beef,-1,3/30/2011 15:12,2.95,12472,Germany
548370,21385,spread cheese,1,3/30/2011 16:14,0.85,15528,United Kingdom
548373,22822,cling film/bags,1,3/30/2011 16:34,12.46,,United Kingdom
548373,82578,cat food,2,3/30/2011 16:34,1.25,,United Kingdom
548384,85038,artif. sweetener,1,3/30/2011 16:47,2.1,,United Kingdom
