"invoiceno","stockcode","description","quantity","invoicedate","unitprice","customerid","country"
"545333","21717",brown bread,"8","10/10/2011 11:12","2.53","12684.0",France
"569558","23015",brown bread,"4","10/10/2011 11:54","2.35","14908.0",Germany
"573585","23015",brown bread,"4","10/10/2011 13:30","0.9","14805.0",United Kingdom
"561818","17109D",brown bread,"6","10/10/2011 14:38","8.08","17794.0",United Kingdom
"546498","84997d",brown bread,"6","10/11/2011 10:43","8.46","15313.0",United Kingdom
"569218","23015",brown bread,"2","10/11/2011 12:38","1.46","16691.0",United Kingdom
"565432","23503",brown bread,"6","10/11/2011 13:45","2.55","17740.0",United Kingdom
"561926","20678",brown bread,"3","10/11/2011 9:23","1.52","15809.0",United Kingdom
"573585","23015",brown bread,"1","10/12/2011 11:33","7.39","",United Kingdom
"570650","23015",brown bread,"2","10/12/2011 12:31","7.96","",United Kingdom
"568054","90024B",brown bread,"2","10/12/2011 13:20","1.15","14856.0",United Kingdom
"543354","23015",brown bread,"12","10/12/2011 14:21","0.72","14885.0",United Kingdom
"566612","23503",brown bread,"2","10/12/2011 14:21","1.6","17928.0",United Kingdom
"561876","23015",brown bread,"8","10/12/2011 14:29","2.7","12733.0",United Kingdom
"562717","90024B",brown bread,"1","10/12/2011 14:56","7.64","17851.0",United Kingdom
"573585","23503",brown bread,"12","10/12/2011 15:39","3.07","14898.0",United Kingdom
"541649","23503",brown bread,"2","10/12/2011 15:42","2.45","",United Kingdom
"564055","23015",brown bread,"2","10/12/2011 16:17","2.23","14774.0",United Kingdom
"569898","20678",brown bread,"12","10/12/2011 9:13","1.89","14966.0",Japan
"568895","23015",brown bread,"9","10/12/2011 9:50","0.57","17734.0",United Kingdom
"568196","90089",brown bread,"2","10/13/2011 10:25","1.76","15852.0",United Kingdom
"566595","90024B",brown bread,"5","10/13/2011 10:25","3.0","17951.0",United Kingdom
"544101","90024B",brown bread,"3","10/13/2011 11:37","2.4","14076.0",United Kingdom
"573585","23015",brown bread,"7","10/13/2011 11:57","0.66","14883.0",United Kingdom
"577537","84997d",brown bread,"11","10/13/2011 13:00","0.69","17603.0",United Kingdom
"566776","23015",brown bread,"6","10/13/2011 13:35","2.97","",United Kingdom
"544073","23508",brown bread,"25","10/13/2011 14:48","0.88","15536.0",United Kingdom
"569641","23015",brown bread,"0","10/13/2011 14:59","2.18","",United Kingdom
"574863","90024B",brown bread,"7","10/14/2011 12:57","1.83","16016.0",United Kingdom
"572323","23484",brown bread,"5","10/14/2011 14:37","2.37","14724.0",United Kingdom
"570196","90024B",brown bread,"2","10/16/2011 12:09","2.38","15316.0",United Kingdom
"580985","84997D",brown bread,"21","10/16/2011 12:19","0.33","12951.0",Japan
"567197","90024B",brown bread,"44","10/16/2011 14:35","3.15","17144.0",United Kingdom
"558241","23015",brown bread,"38","10/17/2011 11:07","1.63","14839.0",Netherlands
"566434","23015",brown bread,"6","10/17/2011 11:27","1.76","14786.0",United Kingdom
"561203","84997D",brown bread,"1","10/17/2011 12:41","3.69","14661.0",United Kingdom
"538168","23015",brown bread,"3","10/17/2011 13:57","2.92","12438.0",Germany
"572309","21212",brown bread,"0","10/18/2011 10:07","1.74","12841.0",United Kingdom
"561648","90089",brown bread,"1","10/18/2011 12:17","3.11","",United Kingdom
"571187","23503",brown bread,"20","10/18/2011 12:48","0.67","17831.0",United Kingdom
"573385","23484",brown bread,"6","10/18/2011 13:15","2.55","",United Kingdom
"572210","23508",brown bread,"1","10/18/2011 13:32","7.25","16083.0",United Kingdom
"571683","23503",brown bread,"0","10/18/2011 13:32","8.57","15589.0",United Kingdom
"571712","17109D",brown bread,"2","10/18/2011 13:32","3.51","17857.0",United Kingdom
"580258","21717",brown bread,"5","10/18/2011 13:44","4.21","15296.0",United Kingdom
"544582","23508",brown bread,"5","10/18/2011 14:15","3.87","16420.0",Germany
"571404","23015",brown bread,"1","10/18/2011 15:05","3.01","",United Kingdom
"539338","84531A",brown bread,"7","10/18/2011 15:22","1.5","17206.0",United Kingdom
"576890","23015",brown bread,"5","10/18/2011 15:52","2.77","16857.0",United Kingdom
"571292","23503",brown bread,"0","10/19/2011 10:48","2.67","",United Kingdom
"543277","23508",brown bread,"0","10/19/2011 11:49","4.56","",United Kingdom
"575989","20678",brown bread,"10","10/19/2011 11:49","2.38","15762.0",United Kingdom
"575867","22768",brown bread,"10","10/19/2011 12:21","1.02","16282.0",United Kingdom
"572810","90024B",brown bread,"2","10/19/2011 12:30","2.55","16820.0",United Kingdom
"571292","23503",brown bread,"1","10/19/2011 12:50","8.59","",United Kingdom
"575086","23484",brown bread,"11","10/19/2011 15:29","1.75","14479.0",United Kingdom
"573174","23015",brown bread,"6","10/19/2011 15:46","3.19","",United Kingdom
"572028","23503",brown bread,"8","10/19/2011 16:59","0.97","",United Kingdom
"538003","90089",brown bread,"1","10/19/2011 16:59","0.87","15831.0",United Kingdom
"579557","23508",brown bread,"1","10/19/2011 16:59","3.1","",United Kingdom
"571701","23503",brown bread,"2","10/19/2011 9:18","3.06","",United Kingdom
"553668","23503",brown bread,"1","10/20/2011 11:03","2.21","",United Kingdom
"576689","90089",brown bread,"4","10/20/2011 12:07","0.39","17227.0",United Kingdom
"575060","23503",brown bread,"0","10/20/2011 12:13","8.29","16909.0",United Kingdom
"581582","84531B",brown bread,"3","10/20/2011 12:57","2.03","",United Kingdom
"548616","23015",brown bread,"2","10/20/2011 13:07","3.87","",United Kingdom
"573116","23503",brown bread,"19","10/20/2011 13:24","1.68","15918.0",United Kingdom
"572028","20678",brown bread,"5","10/20/2011 14:33","0.93","",United Kingdom
"573329","21717",brown bread,"4","10/20/2011 14:52","0.98","15308.0",United Kingdom
"553766","23015",brown bread,"21","10/20/2011 14:52","0.96","15303.0",United Kingdom
"576846","20678",brown bread,"23","10/20/2011 15:20","0.99","15310.0",United Kingdom
"537370","23508",brown bread,"1","10/20/2011 15:20","2.63","15307.0",United Kingdom
"578806","23015",brown bread,"1","10/20/2011 9:04","2.88","14188.0",United Kingdom
"579868","23503",brown bread,"2","10/20/2011 9:04","16.95","",United Kingdom
"571283","23503",brown bread,"0","10/20/2011 9:28","18.9","",United Kingdom
"571047","23508",brown bread,"37","10/20/2011 9:28","1.06","15029.0",Netherlands
"564313","23503",brown bread,"2","10/20/2011 9:40","1.18","15653.0",United Kingdom
"537370","90024B",brown bread,"0","10/21/2011 10:32","1.56","14225.0",United Kingdom
"561922","23015",brown bread,"0","10/21/2011 10:52","1.92","",United Kingdom
"574654","20678",brown bread,"1","10/21/2011 10:55","16.35","",United Kingdom
"571406","84997d",brown bread,"26","10/21/2011 11:30","0.65","15216.0",United Kingdom
"571036","23015",brown bread,"1","10/21/2011 11:33","2.07","",United Kingdom
"547795","71459",brown bread,"15","10/21/2011 11:43","0.71","14914.0",United Kingdom
"537126","90024B",brown bread,"5","10/21/2011 15:20","2.1","15295.0",United Kingdom
"547892","17109D",brown bread,"1","10/21/2011 9:25","3.68","",United Kingdom
"573035","23503",brown bread,"1","10/21/2011 9:25","16.24","",United Kingdom
"547962","23015",brown bread,"5","10/2/2011 10:58","0.05","16943.0",United Kingdom
"577160","23503",brown bread,"1","10/2/2011 12:11","2.17","17504.0",United Kingdom
"562701","90024B",brown bread,"7","10/2/2011 12:22","2.85","",United Kingdom
"565741","23015",brown bread,"23","10/23/2011 11:05","2.97","14963.0",United Kingdom
"573417","71459",brown bread,"3","10/23/2011 12:18","6.64","15070.0",United Kingdom
"539840","20678",brown bread,"9","10/23/2011 12:37","0.85","15311.0",United Kingdom
"543022","23508",brown bread,"5","10/23/2011 12:37","2.83","12944.0",Portugal
"554597","23484",brown bread,"7","10/23/2011 13:49","3.32","",United Kingdom
C574095,"21212",brown bread,"0","10/23/2011 14:47","2.98","17942.0",United Kingdom
"576841","23503",brown bread,"2","10/23/2011 14:47","1.48","15784.0",United Kingdom
"574856","84531A",brown bread,"9","10/23/2011 15:11","1.93","",United Kingdom
"574093","23508",brown bread,"20","10/23/2011 15:23","5.38","",Hong Kong
"573580","23015",brown bread,"1","10/23/2011 15:59","4.2","17883.0",United Kingdom
"571302","23503",brown bread,"2","10/24/2011 10:27","3.08","15309.0",United Kingdom
"572769","23503",brown bread,"2","10/24/2011 10:27","1.31","",United Kingdom
"572863","23508",brown bread,"0","10/24/2011 10:27","8.7","",United Kingdom
"578270","23015",brown bread,"8","10/24/2011 11:56","2.03","16946.0",United Kingdom
"567794","23508",brown bread,"8","10/24/2011 12:44","2.59","15723.0",United Kingdom
"580384","23503",brown bread,"6","10/24/2011 12:53","1.0","17742.0",United Kingdom
"551542","90024B",brown bread,"2","10/24/2011 13:36","2.6","17407.0",United Kingdom
"572238","23015",brown bread,"3","10/24/2011 13:59","2.76","",United Kingdom
"543820","23508",brown bread,"22","10/24/2011 14:35","1.28","17120.0",United Kingdom
"572306","23015",brown bread,"1","10/24/2011 14:35","2.12","",United Kingdom
"574657","23015",brown bread,"1","10/24/2011 16:17","2.49","17105.0",United Kingdom
"574067","71459",brown bread,"2","10/24/2011 16:17","16.78","",United Kingdom
"580980","23015",brown bread,"0","10/24/2011 17:03","4.05","17686.0",United Kingdom
"581402","23503",brown bread,"1","10/24/2011 17:07","2.97","",United Kingdom
"575627","23503",brown bread,"0","10/24/2011 9:46","2.63","",United Kingdom
"574960","90024B",brown bread,"0","10/25/2011 10:27","2.53","17917.0",United Kingdom
"571239","23015",brown bread,"4","10/25/2011 10:27","2.44","17870.0",United Kingdom
"571265","17109D",brown bread,"2","10/25/2011 12:00","1.66","",United Kingdom
"579135","23508",brown bread,-1,"10/25/2011 12:11","2.51","17208.0",United Kingdom
"581122","90024B",brown bread,"1","10/25/2011 12:20","1.72","15967.0",United Kingdom
"536632","90024B",brown bread,"4","10/25/2011 12:20","6.95","15899.0",United Kingdom
"568713","90024B",brown bread,"1","10/25/2011 12:27","2.08","13103.0",United Kingdom
"560298","23508",brown bread,"1","10/25/2011 12:38","7.52","18010.0",United Kingdom
"571725","23508",brown bread,"22","10/25/2011 12:38","1.0","15838.0",United Kingdom
"573311","23015",brown bread,"6","10/25/2011 12:54","2.38","16825.0",Hong Kong
"543245","90024B",brown bread,"1","10/25/2011 13:16","7.89","15578.0",United Kingdom
"573585","23508",brown bread,"2","10/25/2011 13:20","0.8","15884.0",United Kingdom
"573125","90024B",brown bread,"0","10/25/2011 13:48","19.36","17996.0",United Kingdom
"578511","23015",brown bread,"1","10/25/2011 15:03","1.04","15614.0",United Kingdom
"572224","90024B",brown bread,"10","10/25/2011 15:27","3.88","14851.0",United Kingdom
"575178","84531A",brown bread,"7","10/25/2011 17:21","1.72","15517.0",United Kingdom
"573367","23015",brown bread,"8","10/25/2011 17:22","2.2","",United Kingdom
"580105","90024B",brown bread,"0","10/25/2011 17:29","2.91","",United Kingdom
"547651",CRUK,brown bread,"11","10/25/2011 8:44","2.85","18012.0",United Kingdom
"564815","23508",brown bread,"6","10/25/2011 8:45","2.31","",United Kingdom
"581118","17109D",brown bread,"9","10/25/2011 8:45","2.66","14507.0",United Kingdom
"581104","84997D",brown bread,"5","10/25/2011 8:45","2.72","17755.0",United Kingdom
"571039","23503",brown bread,"0","10/25/2011 8:51","4.36","",United Kingdom
"575086","23609",brown bread,"1","10/25/2011 8:51","2.58","17324.0",United Kingdom
"571313","20678",brown bread,"6","10/26/2011 10:11","1.73","15095.0",United Kingdom
"574068","90024B",brown bread,"1","10/26/2011 10:29","3.85","18138.0",United Kingdom
"573390","20678",brown bread,"8","10/26/2011 12:39","1.28","17355.0",United Kingdom
"571895","23015",brown bread,"1","10/26/2011 12:39","2.9","14820.0",United Kingdom
"572559","23508",brown bread,"1","10/26/2011 13:01","9.54","17380.0",United Kingdom
"539737","23508",brown bread,"3","10/26/2011 13:19","8.72","14298.0",United Kingdom
"573146","23484",brown bread,"11","10/26/2011 13:19","1.23","",United Kingdom
"565248","90089",brown bread,"1","10/26/2011 13:28","2.63","",United Kingdom
"572859","22768",brown bread,"23","10/26/2011 13:35","2.0","14833.0",United Kingdom
"550207","23503",brown bread,"6","10/27/2011 10:01","0.85","17182.0",United Kingdom
"571317","21717",brown bread,"6","10/27/2011 10:15","1.11","17609.0",United Kingdom
"547964","84531A",brown bread,"20","10/27/2011 10:36","3.29","15303.0",United Kingdom
"573363","23503",brown bread,"25","10/27/2011 12:22","0.8","15056.0",United Kingdom
"573927","23503",brown bread,"2","10/27/2011 13:41","1.84","15857.0",United Kingdom
"572997","23508",brown bread,"1","10/27/2011 13:44","3.38","",United Kingdom
"572681","23503",brown bread,"2","10/27/2011 14:04","0.86","14816.0",United Kingdom
"579872","23503",brown bread,"4","10/27/2011 14:04","1.5","15708.0",United Kingdom
"569472","17109D",brown bread,"15","10/27/2011 14:22","2.67","15308.0",United Kingdom
"581473","90024B",brown bread,"5","10/27/2011 14:52","1.61","16719.0",United Kingdom
"580514","23503",brown bread,"3","10/27/2011 14:52","2.4","12548.0",United Kingdom
"570910","84997D",brown bread,"7","10/27/2011 16:11","2.14","14644.0",United Kingdom
"571913","23015",brown bread,"2","10/27/2011 16:11","1.98","17710.0",United Kingdom
"571082","84997d",brown bread,"23","10/27/2011 16:21","3.09","",United Kingdom
"571289","23503",brown bread,"1","10/27/2011 16:23","4.56","",United Kingdom
"573183","23508",brown bread,"23","10/27/2011 16:34","2.27","",United Kingdom
"573323","23015",brown bread,"2","10/27/2011 16:34","3.11","",United Kingdom
"580517","23503",brown bread,"22","10/27/2011 16:58","1.65","14970.0",United Kingdom
"579301","23503",brown bread,"1","10/27/2011 16:58","2.38","17506.0",United Kingdom
"574501","23015",brown bread,"2","10/27/2011 17:00","0.65","13660.0",United Kingdom
"573892","23015",brown bread,"5","10/27/2011 17:00","2.87","12603.0",France
"574269","23503",brown bread,"1","10/27/2011 17:22","3.48","",United Kingdom
"580115","23503",brown bread,"7","10/27/2011 20:07","3.05","17374.0",United Kingdom
"575132","23503",brown bread,"2","10/27/2011 8:35","2.71","17810.0",United Kingdom
"574586","23503",brown bread,"2","10/28/2011 10:27","2.32","",United Kingdom
"576567","23015",brown bread,"22","10/28/2011 10:27","1.82","12786.0",United Kingdom
"578024","90024B",brown bread,"2","10/28/2011 11:33","2.7","17150.0",France
"572913","23503",brown bread,"1","10/28/2011 11:33","3.08","12753.0",United Kingdom
C580966,"21717",brown bread,"1","10/28/2011 11:34","0.88","15821.0",United Kingdom
"575387","23503",brown bread,"25","10/28/2011 12:09","0.6","12749.0",Switzerland
"557267","23503",brown bread,"24","10/28/2011 12:09","1.02","14190.0",United Kingdom
"580540","23503",brown bread,"22","10/28/2011 12:33","0.64","",United Kingdom
"572337","23015",brown bread,"20","10/28/2011 12:34","2.0","18136.0",United Kingdom
"573544","90024B",brown bread,"3","10/28/2011 12:39","3.4","17683.0",United Kingdom
"574249","23015",brown bread,"9","10/28/2011 13:02","3.75","17673.0",United Kingdom
"571941","90214O",brown bread,"2","10/28/2011 13:02","2.98","",United Kingdom
"580696","20678",brown bread,"1","10/28/2011 13:10","7.4","",United Kingdom
"571716","20678",brown bread,"22","10/28/2011 13:10","0.83","15308.0",United Kingdom
"579093","20678",brown bread,"10","10/28/2011 13:10","0.88","17302.0",United Kingdom
"539462","90024B",brown bread,"7","10/28/2011 13:51","0.73","13619.0",United Kingdom
"577745","23503",brown bread,"22","10/28/2011 14:44","0.39","15849.0",United Kingdom
"574252","23508",brown bread,"0","10/28/2011 14:51","3.23","",United Kingdom
"571305","23015",brown bread,"5","10/28/2011 14:51","4.34","",United Kingdom
"573380","23015",brown bread,-1,"10/28/2011 16:45","4.4","17623.0",United Kingdom
"581514","84531A",brown bread,"22","10/28/2011 16:45","0.74","13323.0",United Kingdom
"573585","23503",brown bread,"1","10/28/2011 9:06","1.72","18092.0",United Kingdom
"580134","23503",brown bread,"10","10/28/2011 9:06","2.86","15110.0",United Kingdom
"578901","23508",brown bread,"0","10/28/2011 9:12","2.61","15294.0",United Kingdom
"571049","23503",brown bread,"0","10/30/2011 11:08","2.53","18071.0",United Kingdom
"550157","90089",brown bread,"23","10/30/2011 11:08","0.37","15117.0",EIRE
"571941","23503",brown bread,"2","10/30/2011 11:19","4.13","15763.0",United Kingdom
"574923","23503",brown bread,"1","10/30/2011 11:19","8.13","17759.0",United Kingdom
"571281","23503",brown bread,-1,"10/30/2011 11:28","2.88","15310.0",United Kingdom
"574265","23503",brown bread,"21","10/30/2011 11:34","0.65","15745.0",United Kingdom
"572192","23503",brown bread,"0","10/30/2011 12:46","2.99","",United Kingdom
"571701","22746",brown bread,"9","10/30/2011 14:05","0.78","17430.0",United Kingdom
"574069","23015",brown bread,"1","10/30/2011 14:15","2.73","18002.0",United Kingdom
"571944","23015",brown bread,"6","10/30/2011 14:15","1.95","17193.0",United Kingdom
"572652","23015",brown bread,"1","10/30/2011 14:15","4.21","",United Kingdom
"576345","84531A",brown bread,"5","10/30/2011 14:21","0.83","14078.0",Netherlands
"539455","23503",brown bread,"7","10/30/2011 14:33","3.55","16641.0",United Kingdom
"538664","23015",brown bread,"9","10/30/2011 14:44","1.98","14037.0",United Kingdom
"540489","21717",brown bread,"11","10/30/2011 15:44","1.07","15722.0",United Kingdom
"539492","23015",brown bread,"8","10/30/2011 15:50","2.89","14427.0",United Kingdom
"548012","23503",brown bread,"5","10/31/2011 11:37","3.29","14836.0",United Kingdom
"538808","23508",brown bread,"3","10/31/2011 11:57","4.22","",United Kingdom
"545148","23015",brown bread,"8","10/31/2011 12:05","0.71","",United Kingdom
"578620","23015",brown bread,"3","10/31/2011 12:25","0.92","14685.0",United Kingdom
"572061","23015",brown bread,"51","10/31/2011 12:25","6.28","15906.0",United Kingdom
"571227","84997d",brown bread,"4","10/31/2011 12:25","3.44","13034.0",United Kingdom
"581125","21717",brown bread,"4","10/31/2011 13:43","0.8","14719.0",United Kingdom
"580558","23015",brown bread,"7","10/31/2011 13:51","3.06","14792.0",United Kingdom
"577408","23015",brown bread,-4,"10/31/2011 14:21","2.18","17756.0",United Kingdom
"578088","23015",brown bread,"3","10/31/2011 14:23","1.94","17078.0",United Kingdom
"573585","90024B",brown bread,"6","10/31/2011 14:41","2.63","16758.0",United Kingdom
"544484","90024B",brown bread,"8","10/31/2011 14:41","2.36","14497.0",United Kingdom
"573585","17109D",brown bread,"9","10/31/2011 14:41","1.21","18090.0",United Kingdom
"554091","84997D",brown bread,-11,"10/31/2011 14:41","2.85","17897.0",United Kingdom
"573585","23503",brown bread,"12","10/31/2011 14:41","0.96","15154.0",United Kingdom
"573585","23015",brown bread,"1","10/31/2011 14:41","0.93","14835.0",United Kingdom
"544666","90024B",brown bread,"2","10/31/2011 14:41","3.03","17884.0",United Kingdom
"578349","90024B",brown bread,"43","10/31/2011 14:41","2.15","17706.0",United Kingdom
"581179","23503",brown bread,"1","10/31/2011 14:41","2.63","15321.0",United Kingdom
"573585","84531A",brown bread,"6","10/31/2011 14:41","2.47","14757.0",United Kingdom
"573585","23503",brown bread,"24","10/31/2011 14:41","0.68","15038.0",United Kingdom
"556129","20678",brown bread,"1","10/31/2011 14:41","1.06","15030.0",United Kingdom
"573585","23484",brown bread,"3","10/31/2011 14:41","0.61","17409.0",United Kingdom
"565994",CRUK,brown bread,"6","10/31/2011 14:41","6.76","16984.0",United Kingdom
"573585","23015",brown bread,"11","10/31/2011 14:41","1.33","15643.0",United Kingdom
"573585","90024B",brown bread,"7","10/31/2011 14:41","2.78","16675.0",United Kingdom
"573585","71459",brown bread,"3","10/31/2011 14:41","4.05","17879.0",United Kingdom
"573585","23015",brown bread,"4","10/31/2011 14:41","3.0","13327.0",United Kingdom
"573585","23015",brown bread,"3","10/31/2011 14:41","1.93","17709.0",United Kingdom
"563912","23015",brown bread,"25","10/31/2011 14:41","1.75","15758.0",United Kingdom
"573585","90024B",brown bread,"4","10/31/2011 14:41","1.82","12879.0",Japan
"573585","23503",brown bread,"2","10/31/2011 14:41","1.59","18059.0",United Kingdom
"573585","23503",brown bread,"1","10/31/2011 14:41","3.75","15755.0",Australia
"573585","23503",brown bread,"5","10/31/2011 14:41","2.6","15686.0",United Kingdom
"576684","23503",brown bread,"22","10/31/2011 14:41","1.25","15915.0",United Kingdom
"573585","23503",brown bread,"2","10/31/2011 14:41","3.04","15218.0",United Kingdom
"562934","23015",brown bread,"4","10/31/2011 14:41","0.7","15043.0",United Kingdom
"573585","90024B",brown bread,"7","10/31/2011 14:41","3.32","14456.0",United Kingdom
"545302","23503",brown bread,"9","10/31/2011 14:41","2.4","",United Kingdom
"573585","23015",brown bread,"2","10/31/2011 14:41","2.23","",United Kingdom
"573585","90024B",brown bread,"5","10/31/2011 14:41","7.73","17737.0",United Kingdom
"573585","20678",brown bread,"2","10/31/2011 14:41","7.25","15690.0",United Kingdom
"544996","90024B",brown bread,"6","10/31/2011 14:41","3.45","13437.0",Germany
"573585","23503",brown bread,"20","10/31/2011 14:41","0.37","16393.0",United Kingdom
"554370","23508",brown bread,"8","10/31/2011 14:41","6.44","14887.0",Channel Islands
"573585","23015",brown bread,"1","10/31/2011 14:41","8.96","12434.0",Germany
"547370","20678",brown bread,"9","10/31/2011 14:41","0.89","",United Kingdom
"573585","23508",brown bread,"11","10/31/2011 14:41","0.41","17343.0",United Kingdom
